title,view_count,likes,dislikes,comment_count
"Vidyut Jammwal Thanks To Hrithik Roshan For Watching Movie Khuda Haafiz",604410,49970,477,1278
"A tribute to MS Dhoni",5908198,819375,6060,34041
"Khulke Jeene Ka - Dil Bechara|Lyric Video|Sushant-Sanjana|A.R. Rahman Arijit-Shashaa",169785,10733,133,417
"NEW! Ep 2975 - Taarak's Boss! | Taarak Mehta Ka Ooltah Chashmah Comedy | तारक मेहता का उल्टा चश्मा",2717182,64026,2462,2915
"Uppum Mulakum│Flowers│EP# 1119",1613908,43508,2432,4092
"Nayi Nayi Shaadi (Part 2) || A Beautiful Message || Shehbaaz Khan",744786,45696,953,3327
"Bahu Ne Karwaayi Saas Se Massage | GHOR KALYUG | Ss Vlogs :-)",781185,70216,793,3794
"Bahana - Melvin Louis Ft. Harleen Sethi",372324,21053,1169,715
"Sembaruthi | Premiere Episode 776 Preview - Aug 22 2020 | Before ZEE Tamil",608573,5815,371,271
"Ball Pen Writing Range Test | 5 रुपए का पेन कितने किलोमीटर चलेगा? Surprising Results",2036151,187736,6736,8381
"ഇനി മറ്റൊരു ലോകം!!താമസം മാറാനുള്ള കാരണവും അവസാന ഒരുക്കങ്ങളും!!house shifting vlog!!Noufas",118996,2381,324,357
"PlayStation 5 – Play Has No Limits",2098749,89585,3851,9322
"Ganesh Chaturthi Special: Live Satsang with Gurudev Sri Sri Ravi Shankar  | Full Talk",65525,2793,52,26
"Ys Jagan Inspects Ysr Housing Scheme Model House Bedrooms | Bezawada Media",246962,4597,611,264
"सनी देओल ने किया जंग का ऐलान | Yodha | Sunny Deol, Sanjay Dutt",372373,1141,318,53
"Billie Eilish - my future (Live)",5037345,627860,10679,53135
"Deewangi - Last Ep 41 Teaser - 19th August 2020 - HAR PAL GEO",666648,6949,755,480
"ഇന്ന് മുഹറം 1 ചൊല്ലേണ്ടതും അറിയേണ്ടതും Muharram 1 Sidheeq Mannani Kollam Speech About Muharram",72294,1746,180,176
"Call of Duty Black Ops: Cold War - Official Teaser Trailer",4428865,206555,8458,30665
"कपिल ने की भूरी से प्यारी बातें | The Kapil Sharma Show Season 2 | Best Moments",927581,16741,912,333
"Shakti | शक्ति | Ep. 1045 & 1046 | Recap",385532,3942,354,86
"தோனியின் 7:29 ரகசியம் |  #DhoniRetirement |  #Mahi | #Dhoni",283727,15901,226,556
"ऐसे करें हरितालिका तीज पूजन की तैयारी। तीज पूजन की सामग्री। Hartalika Teej 2020",862012,8210,1186,839
"New Motorcycle Give away To My Subscribers!! / ഒരു പുത്തൻ ബൈക്ക്‌ നിങ്ങൾക്ക്‌ സമ്മാനമായി 😍",315119,57382,594,95746
